epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,764.625,1.17157,0.7506,1.05571,0.87309,0.76858,0.83074,0.59557,1.02811,0.69255,1.07313,0.00055964,0.00055964,0.00055964
57,778.163,1.18902,0.76953,1.06009,0.81737,0.75038,0.79979,0.56756,1.01329,0.72605,1.08786,0.000555833,0.000555833,0.000555833
58,791.503,1.15845,0.75282,1.06614,0.81734,0.73349,0.80545,0.55463,1.02536,0.73525,1.08428,0.000552027,0.000552027,0.000552027
59,805.021,1.15569,0.74838,1.05755,0.85163,0.7656,0.84231,0.6026,1.02143,0.68422,1.06951,0.00054822,0.00054822,0.00054822
60,818.617,1.13562,0.71879,1.05271,0.83525,0.78435,0.83837,0.60673,1.03164,0.67469,1.05617,0.000544414,0.000544414,0.000544414
61,832.199,1.13436,0.72557,1.04039,0.8393,0.76642,0.81137,0.59133,0.99075,0.69141,1.06245,0.000540607,0.000540607,0.000540607
62,845.55,1.15519,0.72946,1.05084,0.84545,0.79491,0.84519,0.61693,0.95924,0.6503,1.02796,0.0005368,0.0005368,0.0005368
63,859.293,1.07225,0.6977,1.02504,0.76929,0.84125,0.85332,0.62178,0.98046,0.65012,1.04698,0.000532994,0.000532994,0.000532994
64,872.828,1.11427,0.71912,1.03691,0.8648,0.78722,0.84034,0.61971,0.98585,0.65696,1.04591,0.000529187,0.000529187,0.000529187
65,886.292,1.09931,0.70104,1.03284,0.84976,0.80865,0.83497,0.60356,0.98906,0.663,1.04989,0.000525381,0.000525381,0.000525381
66,899.652,1.10729,0.70301,1.04579,0.82988,0.7748,0.83064,0.60124,1.01368,0.68082,1.07212,0.000521574,0.000521574,0.000521574
67,913.105,1.11095,0.71123,1.05259,0.8743,0.79177,0.84742,0.61642,0.98945,0.65107,1.05147,0.000517768,0.000517768,0.000517768
68,926.722,1.13187,0.70968,1.04597,0.87582,0.77509,0.84909,0.62442,0.99813,0.67819,1.06605,0.000513961,0.000513961,0.000513961
69,940.441,1.08796,0.69948,1.03569,0.84658,0.78709,0.82714,0.60725,1.00258,0.66318,1.06092,0.000510155,0.000510155,0.000510155
70,954.103,1.13281,0.6966,1.0508,0.82595,0.81596,0.82721,0.59291,0.98743,0.64291,1.05254,0.000506348,0.000506348,0.000506348
71,967.621,1.10612,0.69878,1.03713,0.86012,0.8088,0.84716,0.62459,0.96915,0.63754,1.04758,0.000502541,0.000502541,0.000502541
72,981.122,1.10712,0.70369,1.03898,0.85552,0.78859,0.83963,0.61273,0.99178,0.67822,1.0493,0.000498735,0.000498735,0.000498735
73,994.772,1.09296,0.67965,1.03068,0.85894,0.78641,0.84934,0.62117,0.96691,0.65213,1.04411,0.000494928,0.000494928,0.000494928
74,1008.52,1.06844,0.67769,1.01412,0.82131,0.8031,0.8513,0.61788,0.96796,0.65289,1.04891,0.000491122,0.000491122,0.000491122
75,1022.1,1.13271,0.70344,1.04027,0.84533,0.81522,0.85887,0.6203,0.98692,0.64905,1.04165,0.000487315,0.000487315,0.000487315
76,1035.56,1.09876,0.69567,1.03954,0.8684,0.80405,0.84637,0.62258,0.98516,0.65243,1.05386,0.000483509,0.000483509,0.000483509
77,1049.59,1.06279,0.67117,1.0253,0.87829,0.81254,0.85482,0.61653,0.98161,0.6406,1.0468,0.000479702,0.000479702,0.000479702
78,1063.22,1.07347,0.66921,1.03027,0.86835,0.78968,0.84745,0.62036,0.96423,0.65882,1.04381,0.000475896,0.000475896,0.000475896
79,1076.67,1.07721,0.67646,1.02386,0.87203,0.784,0.84828,0.61937,0.97836,0.6531,1.04955,0.000472089,0.000472089,0.000472089
80,1090.34,1.05629,0.65293,1.02144,0.83446,0.78457,0.85385,0.61313,1.03587,0.64654,1.07134,0.000468283,0.000468283,0.000468283
81,1104.08,1.07938,0.65844,1.02527,0.83901,0.79524,0.84152,0.61421,1.00271,0.65046,1.06213,0.000464476,0.000464476,0.000464476
82,1118.14,1.07848,0.66579,1.03055,0.82027,0.8145,0.83805,0.60973,1.01098,0.64383,1.07887,0.000460669,0.000460669,0.000460669
83,1131.7,1.09677,0.66845,1.03973,0.84834,0.82517,0.86735,0.63781,1.0196,0.64439,1.05567,0.000456863,0.000456863,0.000456863
84,1145.18,1.08048,0.66209,1.03207,0.82782,0.85069,0.8571,0.62472,0.97994,0.60185,1.05436,0.000453056,0.000453056,0.000453056
85,1158.7,1.09833,0.66391,1.0288,0.88011,0.7914,0.83643,0.61133,0.97071,0.61705,1.05124,0.00044925,0.00044925,0.00044925
86,1172.29,1.06923,0.64549,1.01044,0.85011,0.8255,0.84698,0.60822,0.98179,0.66963,1.04187,0.000445443,0.000445443,0.000445443
87,1185.98,1.06507,0.6508,1.0219,0.86591,0.79437,0.84905,0.62456,0.98233,0.63759,1.03887,0.000441637,0.000441637,0.000441637
88,1199.52,1.04532,0.65106,1.01877,0.88555,0.7838,0.85414,0.62368,0.97551,0.61059,1.03845,0.00043783,0.00043783,0.00043783
89,1213.07,1.02555,0.64234,0.9995,0.82208,0.8247,0.8665,0.63164,0.96563,0.62907,1.04212,0.000434024,0.000434024,0.000434024
90,1226.52,1.08339,0.6393,1.01981,0.86523,0.80905,0.86309,0.62421,0.97482,0.61155,1.03798,0.000430217,0.000430217,0.000430217
91,1240.14,1.06285,0.65127,1.01715,0.88407,0.78759,0.85922,0.63247,0.98084,0.62567,1.03228,0.000426411,0.000426411,0.000426411
92,1253.93,1.05206,0.63633,1.00943,0.8758,0.79423,0.85045,0.61051,1.00348,0.6539,1.06589,0.000422604,0.000422604,0.000422604
93,1267.53,1.04925,0.63264,1.00649,0.87913,0.77531,0.83125,0.59168,1.00638,0.63274,1.05579,0.000418797,0.000418797,0.000418797
94,1280.99,1.04434,0.62676,1.01674,0.8644,0.76967,0.83915,0.60181,0.98678,0.6137,1.04987,0.000414991,0.000414991,0.000414991
95,1294.59,1.04923,0.63183,1.01803,0.86027,0.81342,0.84565,0.61246,0.97501,0.60398,1.04932,0.000411184,0.000411184,0.000411184
