epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1059.88,1.0989,0.63491,1.02792,0.87605,0.76538,0.82749,0.59883,1.02544,0.63623,1.08952,0.000456863,0.000456863,0.000456863
84,1073.29,1.07619,0.6334,1.01906,0.88878,0.76725,0.83824,0.60257,0.99502,0.61697,1.05848,0.000453056,0.000453056,0.000453056
85,1086.9,1.05061,0.61805,1.00663,0.85144,0.7752,0.83505,0.60802,0.99858,0.63742,1.0606,0.00044925,0.00044925,0.00044925
86,1099.98,1.07726,0.63313,1.01397,0.88937,0.75961,0.84339,0.59546,1.02735,0.66225,1.07345,0.000445443,0.000445443,0.000445443
87,1113.21,1.0626,0.62949,1.01193,0.87422,0.75021,0.82352,0.59163,1.0364,0.67414,1.07519,0.000441637,0.000441637,0.000441637
88,1125.78,1.03196,0.61331,1.00872,0.85748,0.75535,0.83528,0.60194,0.99961,0.6362,1.07142,0.00043783,0.00043783,0.00043783
89,1138.34,1.08439,0.62656,1.02472,0.79287,0.83022,0.83489,0.59866,1.02838,0.62746,1.07856,0.000434024,0.000434024,0.000434024
90,1151.33,1.05859,0.62506,1.00524,0.83029,0.81088,0.83203,0.59703,1.01345,0.63293,1.07546,0.000430217,0.000430217,0.000430217
91,1164.28,1.05819,0.62358,1.01212,0.85895,0.79226,0.8352,0.60002,1.02527,0.63319,1.0725,0.000426411,0.000426411,0.000426411
92,1177.65,1.05423,0.61864,1.01203,0.88788,0.78623,0.839,0.60697,1.01484,0.62543,1.07,0.000422604,0.000422604,0.000422604
93,1190.88,1.018,0.60745,0.99327,0.8802,0.80858,0.86175,0.6183,1.01028,0.63916,1.07896,0.000418797,0.000418797,0.000418797
94,1204.4,1.02121,0.60258,1.00502,0.85167,0.7944,0.84171,0.60768,1.01608,0.61557,1.07531,0.000414991,0.000414991,0.000414991
95,1217.67,1.05296,0.60949,1.00657,0.87335,0.80388,0.8404,0.59916,1.0208,0.62788,1.08195,0.000411184,0.000411184,0.000411184
96,1230.8,1.01387,0.58457,0.99386,0.88388,0.81913,0.85274,0.62697,1.00394,0.612,1.06527,0.000407378,0.000407378,0.000407378
97,1243.87,1.01768,0.59979,0.99836,0.86652,0.80668,0.85362,0.61504,1.00577,0.6315,1.06742,0.000403571,0.000403571,0.000403571
98,1256.03,1.03336,0.6014,0.99876,0.86466,0.80841,0.8564,0.6116,1.01791,0.62624,1.07784,0.000399765,0.000399765,0.000399765
